[2021-05-21T23:50:50-0700] [ALPM] installed mingw-w64-x86_64-gnutls (3.7.0-2)
[2021-05-21T23:50:50-0700] [ALPM] installed mingw-w64-x86_64-libproxy (0.4.17-1)
[2021-05-21T23:50:50-0700] [ALPM] installed mingw-w64-x86_64-adobe-source-code-pro-fonts (2.030ro+1.050it-2)
[2021-05-21T23:50:50-0700] [ALPM] installed mingw-w64-x86_64-cantarell-fonts (0.301-1)
[2021-05-21T23:50:50-0700] [ALPM] installed mingw-w64-x86_64-gsettings-desktop-schemas (40.0-2)
[2021-05-21T23:50:50-0700] [ALPM] installed mingw-w64-x86_64-glib-networking (2.66.0-2)
[2021-05-21T23:50:51-0700] [ALPM] installed mingw-w64-x86_64-glade (3.38.2-1)
[2021-05-21T23:50:51-0700] [ALPM] transaction completed
[2021-05-21T23:50:51-0700] [ALPM] running 'mingw-w64-x86_64-fontconfig.hook'...
[2021-05-21T23:50:51-0700] [ALPM] running 'mingw-w64-x86_64-gio-querymodules.hook'...
[2021-05-21T23:50:52-0700] [ALPM] running 'mingw-w64-x86_64-glib-compile-schemas.hook'...
[2021-05-21T23:50:52-0700] [ALPM] running 'mingw-w64-x86_64-gtk-update-icon-cache.hook'...
[2021-05-21T23:51:15-0700] [PACMAN] Running 'pacman -S mingw-w64-x86_64-toolchain base-devel'
